Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
Varsims,com.bina.varsim.tools.simulation,RandDGV2VCF,Law of Demeter violation,The tool detected the smell in this method (sampleFromDGV) because the method voilates the law of Demeter. The long chain of method invocations is : com.bina.varsim.types.variant.Variant.getChr; com.bina.varsim.types.ChrString.equals
Varsims,com.bina.varsim.tools.simulation,RandDGV2VCF,Law of Demeter violation,The tool detected the smell in this method (sampleFromDGV) because the method voilates the law of Demeter. The long chain of method invocations is : com.bina.varsim.types.variant.Variant.getChr; com.bina.varsim.types.ChrString.equals
Varsims,com.bina.varsim.tools.simulation,RandSequenceVCF,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.bina.varsim.util.VCFparser; com.bina.varsim.util.SimpleReference
Varsims,com.bina.varsim.tools.simulation,RandVCF2VCF,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.bina.varsim.types.variant.Variant; com.bina.varsim.util.VCFparser; com.bina.varsim.util.SimpleReference; com.bina.varsim.types.Genotypes
Varsims,com.bina.varsim.tools.simulation,RandVCF2VCF,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
Varsims,com.bina.varsim.tools.simulation,RandVCFgenerator,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.bina.varsim.types.variant.alt.Alt
Varsims,com.bina.varsim.tools.simulation,VCF2diploid,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.bina.varsim.types.HostRefIdx; com.bina.varsim.util.VCFparser; com.bina.varsim.util.SimpleReference
Varsims,com.bina.varsim.tools.simulation,VCF2diploid,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: DELETED_BASE
Varsims,com.bina.varsim.tools.simulation,VCF2diploid,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12
Varsims,com.bina.varsim.tools.simulation,VCF2diploid,Law of Demeter violation,The tool detected the smell in this method (addVariant) because the method voilates the law of Demeter. The long chain of method invocations is : com.bina.varsim.util.SimpleReference.getSequence; com.bina.varsim.types.Sequence.revComp
Varsims,com.bina.varsim.tools.simulation,VCF2diploid,Law of Demeter violation,The tool detected the smell in this method (addVariant) because the method voilates the law of Demeter. The long chain of method invocations is : com.bina.varsim.util.SimpleReference.getSequence; com.bina.varsim.types.Sequence.subSeq
Varsims,com.bina.varsim.tools.simulation,VCF2diploid,Law of Demeter violation,The tool detected the smell in this method (addVariant) because the method voilates the law of Demeter. The long chain of method invocations is : com.bina.varsim.types.variant.alt.Alt.getSeqType; com.bina.varsim.types.variant.Variant.getAlt
Varsims,com.bina.varsim.tools.simulation,VCF2diploid,Law of Demeter violation,The tool detected the smell in this method (addVariant) because the method voilates the law of Demeter. The long chain of method invocations is : com.bina.varsim.types.variant.Variant.getAlt; com.bina.varsim.types.variant.alt.Alt.getCopyNumber
Varsims,com.bina.varsim.tools.simulation,VCF2diploid,Law of Demeter violation,The tool detected the smell in this method (addVariant) because the method voilates the law of Demeter. The long chain of method invocations is : com.bina.varsim.types.variant.Variant.getAlt; com.bina.varsim.types.variant.alt.Alt.length
Varsims,com.bina.varsim.tools.simulation,VCF2diploid,Law of Demeter violation,The tool detected the smell in this method (addVariant) because the method voilates the law of Demeter. The long chain of method invocations is : com.bina.varsim.types.variant.alt.Alt.getSeqType; com.bina.varsim.types.variant.Variant.getAlt
Varsims,com.bina.varsim.tools.simulation,VCF2diploid,Law of Demeter violation,The tool detected the smell in this method (addVariant) because the method voilates the law of Demeter. The long chain of method invocations is : com.bina.varsim.types.variant.alt.Alt.getSeqType; com.bina.varsim.types.variant.Variant.getAlt
Varsims,com.bina.varsim.tools.simulation,VCF2diploidTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.bina.varsim.tools.simulation.VCF2diploid
Varsims,com.bina.varsim.types,BedFile,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.bina.varsim.util.chrSearchTree
Varsims,com.bina.varsim.types,FlexSeq,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: LEGAL_SEQUENCE_CHARS
